Name,Abstraction Level,Genre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A Woman playing a clavichord.jpg,Naturalistic,Genre,Indoors,Private Domain,,Recreation,Occupation of Time,Peace,Comfort,Casual,,,,,,,,
Aristotle with a bust of homer - Rembrant.jpg,Naturalistic,Portraiture,Thinker/Artist,Genius,Thoughtful,Greatness,Texture,,,,,,,,,,,
Bacchanal before a Statue of Pan - Poussin.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Community/Family,Social Consciousness,Morality,Joy,Harmony,Abundance,Lively,Independence,,,
Charles I with M. de St. Antoine - van Dyck.jpg,Naturalistic,Portraiture,Royalty,Status,Power,Strength,Confidence,,,,,,,,,,,
Death of the Virgin - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Conflict,Spirituality,Cycle of life,Loss,Sadness,Drama,,,,,
Deposition - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Cycle of life,Morality,Sadness,Drama,Loss,,,
Education of the Princess - Paul Reubens.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Education,Communication,the Mind,Beauty,Greatness,,,,,,,
Girl with a pearl earring - vermeer.jpg,Naturalistic,Portraiture,Commoner,Beauty/Ideal,Thoughtful,Freshness,Elegance,,,,,,,,,,,
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,
Judith Slaying Holofernes - Gentileschi.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,
las meninas - Velazquez.jpg,Naturalistic,Portraiture,Royalty,Status,Youth,Youth,Elegance,,,,,,,,,,,
Louis XIV - Rigaud.jpg,Naturalistic,Portraiture,Royalty,Status,Power,Greatness,Confidence,Strength,,,,,,,,,,
Old Woman Cooking Eggs - 1618.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Dining,Chores,Occupation of Time,Community/Family,Casual,,,,,,,,
Portrait of Charles II - Wright.jpg,Naturalistic,Portraiture,Royalty,Status,Power,Beauty/Ideal,Confidence,Strength,Harmony,,,,,,,,,
Quince Cabbage Melon and Cucumber - Cotan.jpg,Naturalistic,Still life,Food,,,,,,,,,,,,,,,
Samson and Delilah - Rubens.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,Urban Realm,Conflict,Rest/Liesure,Morality,Government,Drama,Ugly,Sexuality,Antiquity,,,,
Samson and Delilah - van Dyck.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Conflict,Morality,Government,Texture,Drama,Ugly,Sexuality,Antiquity,,,
Self Portrait - Rembrant.jpg,Naturalistic,Portraiture,Other/Self/Personal,Exhaustion,Thoughtful,Vacancy,,,,,,,,,,,,
Self-portrait - Leyster.jpg,Naturalistic,Portraiture,Other/Self/Personal,Joy,Status,Comfort,Casual,Gender,,,,,,,,,,
Singing boy with a flute - Hals.jpg,Naturalistic,Genre,Indoors,Private Domain,,Recreation,Communication,Occupation of Time,Beauty,Youth,Joy,Texture,Drama,Warm,,,,
St. John the Baptist in Wilderness - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Spirituality,the Body,Morality,Drama,Isolation,Harmony,Elegance,,,
Still life with a sliver ewer - Kalf.jpg,Naturalistic,Still life,Food,,,,,,,,,,,,,,,
Still Life with Ebony Chest - Pereda.jpg,Naturalistic,Still life,Food,Furniture,,,,,,,,,,,,,,
Still Life with Flowers etc - Peeters.jpg,Naturalistic,Still life,Food,Flowers/Plants,,,,,,,,,,,,,,
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Naturalistic,History Genre,History Subgenre,Indoors,Public Domain,Urban Realm,Education,Communication,Science,the Body,Drama,,,,,,,
The Arrival of Marie de Medici at Marseille - rubens.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Public Domain,Urban Realm,Festivity/Celebration,Recreation,Power,Beauty,Drama,Greatness,Lively,Abundance,,,,
The art of painting - vermeer.jpg,Naturalistic,Genre,Indoors,Private Domain,,Chores,Recreation,Occupation of Time,Casual,Peace,,,,,,,,
The Calling of Saint Matthew - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Communication,Rest/Liesure,Spirituality,Morality,Occupation of Time,Drama,Harmony,,,,
The Consequences of War - Rubens.jpg,Naturalistic,History Genre,Allegorical Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Government,Social Consciousness,Lively,Drama,Strife/Pain,Ugly,,,,
The Crowning with Thorns - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Social Consciousness,Ugly,Drama,Strife/Pain,Sadness,Morality,,
The Crucifixion of St. Peter - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Social Consciousness,Ugly,Drama,Strife/Pain,Freshness,Morality,,
The Feast of St Nicholas - Steen.jpg,Naturalistic,Genre,Indoors,Private Domain,,Recreation,Rest/Liesure,Festivity/Celebration,Community/Family,Beauty,Joy,Lively,Youth,Love,Occupation of Time,,,
The Geographer - Vermeer.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Work,Education,Science,Occupation of Time,Dedication,Peace,Casual,,,,,,
The Immaculate Conception of Los Venerables - Murillo.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,,Religious Action,Spirituality,Cycle of life,Morality,Drama,Greatness,,,,,,
The Jewish Bride - Rembrant.jpg,Naturalistic,Genre,Indoors,Private Domain,,Religious Action,Love,Community/Family,Texture,Detachment,Harmony,,,,,,,
The Jewish Cemetary - Ruisdael.jpg,Naturalistic,Landscape,Forest,Buildings,Beauty,Ideal,,,,,,,,,,,,
The Martyrdom of Saint Serapion - Zurbaran.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Conflict,Spirituality,Social Consciousness,Ugly,Strife/Pain,Drama,Morality,,,,
The Night Watch - Rembrant.jpg,Naturalistic,Portraiture,Government/Military,Dedication,Greatness,Lively,,,,,,,,,,,,
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Recreation,Festivity/Celebration,Communication,Power,Beauty,Love,Lively,Abundance,,,,
The Proposition - Leyster.jpg,Naturalistic,Genre,Indoors,Private Domain,,Rest/Liesure,Chores,Communication,Conflict,Social Consciousness,Morality,Occupation of Time,Drama,Dedication,Freshness,,,
The Rape of the Daughters of Leucippus.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Violence,Conflict,Drama,Ugly,Lively,Fear,Sexuality,the Body,Morality,,,
The Supper at Emmaus - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,,Dining,Conflict,Communication,Community/Family,Cycle of life,Morality,Drama,Harmony,,,,
The Triumph of Bacchus - Velazquez.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Public Domain,Rural Realm,Recreation,Dining,Festivity/Celebration,Beauty,Occupation of Time,Lively,Joy,Warm,Patriotism,,,
The Waterseller of Seville - Velazquez.jpg,Naturalistic,Genre,Indoors,Public Domain,,Work,Occupation of Time,Dedication,Detachment,,,,,,,,,
Venus Mars and Cupid - Rubens.jpg,Naturalistic,History Genre,Mythological Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,Community/Family,Cycle of life,the Body,Joy,Sensual,Intimacy,Beauty,Love,,
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Naturalistic,Landscape,Farm/grassland,Buildings,Peaceful,Beauty,Ideal,,,,,,,,,,,
Vulcan's Forge - Velazquez.jpg,Naturalistic,History Genre,Mythological Subgenre,Indoors,Public Domain,,Communication,Work,Conflict,Community/Family,Love,Morality,Lively,Harmony,Drama,,,
Woman with a water jug - Vermeer.jpg,Naturalistic,Genre,Indoors,Private Domain,,Chores,Occupation of Time,Peace,Joy,Freshness,,,,,,,,
Women Regents - Hals.jpg,Naturalistic,Portraiture,Religious,Serious,Dedication,Exhaustion,,,,,,,,,,,,
Big Nude - Braque.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,the Body,Occupation of Time,Color,Texture,Deconstruction,,,,,,,
Bottle and Fishes - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Bottle and Glass on a Table - Gris.jpg,Wholly Abstract,,,,,,,,,,,,,,,,,
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Contrast of Forms - Leger.jpg,Wholly Abstract,,,,,,,,,,,,,,,,,
Cubist Self Portrait - Dali.jpg,Organically Abstract,Portraiture,Other/Self/Personal,Deconstruction,,,,,,,,,,,,,,
Daniel-Henry Kahnweiler - Picasso.jpg,Organically Abstract,Portraiture,Other/Self/Personal,Deconstruction,,,,,,,,,,,,,,
Dora Maar au Chat - Picasso.jpg,Semi-Abstract,Portraiture,Thinker/Artist,Beauty/Ideal,Greatness,Color,Mischievous,Deconstruction,,,,,,,,,,
Fruit Dish and Glass - Braque.jpg,Organically Abstract,Still life,Food,Deconstruction,,,,,,,,,,,,,,
Gala and the Angelus of Millet - Dali.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,the Mind,Occupation of Time,Isolation,Drama,Color,,,,,,,
Girl Before A Mirror - Picasso.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,the Body,Beauty,Color,Deconstruction,Vacancy,,,,,,,
Girl with Mandolin - Picasso.jpg,Organically Abstract,Portraiture,Commoner,,Deconstruction,,,,,,,,,,,,,
Gueridon - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Guernica - Picasso.jpg,Semi-Abstract,History Genre,History Subgenre,Outdoors,Public Domain,Rural Realm,Violence,Conflict,Government,Social Consciousness,Ugly,Strife/Pain,Deconstruction,Drama,Sadness,Morality,,
Guitar - Picasso.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Houses at l'Estaque - Braque.jpg,Semi-Abstract,Landscape,City,Buildings,Mystery,Deconstruction,,,,,,,,,,,,
Jacqueline Kneeling - Picasso.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Greatness,Serious,Vacancy,Isolation,Detachment,,,,,,,,,,
L'Oiseau bleu - Metzinger.jpg,Organically Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,the Body,Deconstruction,Lively,,,,,,,,,
La Femme aux Phlox - Gleizes.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Work,Occupation of Time,Deconstruction,Peace,,,,,,,,,
Ma Joile - Picasso.jpg,Wholly Abstract,,,,,,,,,,,,,,,,,
Man with a Pipe - Picasso.jpg,Organically Abstract,Portraiture,Commoner,,Deconstruction,Joy,,,,,,,,,,,,
Nature morte au compotier - Picasso.jpg,Semi-Abstract,Still life,Furniture,Food,Deconstruction,,,,,,,,,,,,,
Nude Descending a Staircase - Duchamp.jpg,Organically Abstract,Genre,Indoors,Private Domain,Urban Realm,Rest/Liesure,the Body,Occupation of Time,Deconstruction,,,,,,,,,
Painter and Model - Picasso.jpg,Organically Abstract,Genre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Occupation of Time,Vacancy,Deconstruction,Color,,,,,,,,
Paris Through a Window - Chagall.jpg,Semi-Abstract,Landscape,City,Buildings,,Color,Lively,,,,,,,,,,,
Portrait of Ambroise Vollard - Picasso.jpg,Semi-Abstract,Portraiture,Thinker/Artist,Greatness,Genius,Thoughtful,Deconstruction,,,,,,,,,,,
Portrait of Dora Maar - Picasso.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Beauty/Ideal,Status,Deconstruction,Color,Confidence,,,,,,,,,,
Portrait of Pablo Picasso - Gris.jpg,Organically Abstract,Portraiture,Thinker/Artist,Genius,Greatness,Deconstruction,,,,,,,,,,,,
Self Portrait with Seven Fingers - Chagall.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Thoughtful,Dedication,Detachment,Deconstruction,Color,,,,,,,,,,
Still life with Clarinet - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
The City - Delaunay.jpg,Semi-Abstract,Landscape,City,Buildings,,Deconstruction,,,,,,,,,,,,
The City - Leger.jpg,Organically Abstract,Landscape,City,Buildings,Bountiful/Giving,Fast Pace,Color, Deconstruction,,,,,,,,,,
The Eiffel Tower - Delaunay.jpg,Semi-Abstract,Landscape,City,Buildings,,Deconstruction,,,,,,,,,,,,
The Green Violinist - Chagall.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Spirituality,Community/Family,Social Consciousness,Color,Joy,,,,,,,
The Open Window - Gris.jpg,Semi-Abstract,Still life,Furniture,,Deconstruction,,,,,,,,,,,,,
The Portuguese - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
The Reservoir - Picasso.jpg,Semi-Abstract,Landscape,City,Buildings,,Deconstruction,,,,,,,,,,,,
The Round Table - Braque.jpg,Semi-Abstract,Still life,Furniture,,Deconstruction,,,,,,,,,,,,,
The Table - Gris.jpg,Organically Abstract,Still life,Furniture,Deconstruction,,,,,,,,,,,,,,
Three Musicians - Picasso.jpg,Semi-Abstract,Genre,Indoors,Public Domain,Urban Realm,Recreation,Occupation of Time,Deconstruction,Harmony,Color,,,,,,,,
Three Women - Picasso.jpg,Semi-Abstract,Still life,,Deconstruction,Sensual,,,,,,,,,,,,,
Violin and Candlestick - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Violin and Checkerboard - Gris.jpg,Organically Abstract,Still life,,Deconstruction,Color,Lively,,,,,,,,,,,,
Violin and Guitar - Gris.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Violin and Palette - Braque.jpg,Organically Abstract,Still life,,Deconstruction,,,,,,,,,,,,,,
Woman in Hat with a Fur Collar - Picasso.jpg,Semi-Abstract,Portraiture,Commoner,Beauty/Ideal,Thoughtful,Deconstruction,Color,,,,,,,,,,,
Woman with Guitar - Braque.jpg,Organically Abstract,Genre,Indoors,Private Domain,,Recreation,Occupation of Time,Deconstruction,,,,,,,,,,
Zapata-style Landscape - Rivera.jpg,Organically Abstract,Landscape,Mountain,,Beauty,,Deconstruction,Harmony,,,,,,,,,,
Guitar on a table - Gris.jpeg,Semi-Abstract,Still life,Furniture,,Deconstruction,Color,,,,,,,,,,,,
All Saints - Kandinsky.jpg,Semi-Abstract,History Genre,Religious Subgenre,Outdoors,Public Domain,,Religious Action,Festivity/Celebration,Spirituality,Lively,Joy,Color,,,,,,
All Saints I - Kandinsky.jpg,Organically Abstract,History Genre,Religious Subgenre,Outdoors,Public Domain,,Religious Action,Festivity/Celebration,Spirituality,Color,Lively,Deconstruction,,,,,,
Blue Horse I - Marc.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,,Beauty,the Mind,Spirituality,Minimalism,Color,Joy,Lively,Harmony,,,,
Blue Horses - Marc.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,,Color,Minimalism,Harmony,Spirituality,Peace,Beauty,,,,,,
Boy Leading a Horse - Picasso.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,Chores,the Body,Minimalism,Harmony,,,,,,,,,
Castle and Sun - Klee.jpg,Organically Abstract,Landscape,City,Buildings,,Deconstruction,Lively,Color,,,,,,,,,,
Death in a Sickroom - Munch.jpg,Naturalistic,Genre,Indoors,Private Domain,,Rest/Liesure,Conflict,,Cycle of life,Community/Family,Strife/Pain,Sadness,Uneasiness,Loss,,,,
Dog Lying in the Snow - Marc.jpg,Semi-Abstract,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,,Beauty,Color,Joy,Minimalism,Color,Harmony,,,,,
Evening on Karl Johan Street - Munch.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Urban Realm,Recreation,,Community/Family,Social Consciousness,the Mind,Isolation,Vacancy,Uneasiness,,,,,
Fighting Forms - Marc.jpg,Wholly Abstract,,,,,,,,,,,,,,,,,
Girls on the Bridge - Munch.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Occupation of Time,Beauty,Joy,Youth,Nature Interaction,Harmony,,,,,,
Grazing Horses IV - Marc.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,,Beauty,Color,Joy,Texture,Lively,Harmony,,,,,,
Harmony in Red - Matisse.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,Dining,Occupation of Time,Harmony,Comfort,,,,,,,,
Hermits - Schiele.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Urban Realm,,Social Consciousness,Strife/Pain,Ugly,Sadness,Uneasiness,,,,,,,
Improvisation 28 - Kandinsky.jpg,Wholly Abstract,,,,,,,,,,,,,,,,,
L'Atelier Rouge - Matisse.jpg,Semi-Abstract,Still life,Furniture,,Minimalism,Color,,,,,,,,,,,,
Little Blue Horse - Marc.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,,Beauty,Color,Minimalism,Lively,Harmony,,,,,,,
Love and Pain - Munch.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,,Love,Strife/Pain,Color,Texture,Drama,Sensual,,,,,
Migrants - Portinari.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,Work,Conflict,Ugly,Strife/Pain,Sadness,Texture,Drama,Government,Social Consciousness,Morality,,,
Nude at Rest - Balthus.jpg,Naturalistic,Genre,Indoors,Private Domain,,Rest/Liesure,the Body,Sensual,Sexuality,Peace,Harmony,Warm,,,,,,
Nude Sitting on a Divan - Modigliani.jpg,Semi-Abstract,Genre,Indoors,Private Domain,,Rest/Liesure,the Body,Color,Sexuality,Confidence,,,,,,,,
Portrait of Luna Czechowski - Modigliani.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Beauty/Ideal,Greatness,Greatness,Confidence,,,,,,,,,,,
Portrait of Wally - Schiele.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Greatness,Beauty/Ideal,Texture,Uneasiness,Confidence,Thoughtful,Strength,Sexuality,,,,,,,
Potsdamer Platz - Kirchner.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Community/Family,Social Consciousness,Color,Texture,Uneasiness,Fast Pace,Isolation,Vacancy,Drama,,
Puberty - Munch.jpg,Naturalistic,Genre,Indoors,Private Domain,,Rest/Liesure,Conflict,Cycle of life,the Body,Isolation,Fear,Uneasiness,Sexuality,,,,,
Seated Male Nude - Schiele.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Youth,Uneasiness,Strife/Pain,Isolation,Drama,Sexuality,Strife/Pain,,,,,,,,
Seated Nude - Modigliani.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Beauty/Ideal,Color,Sensual,Comfort,Casual,,,,,,,,,,
Seated Woman with Bent Knee - Schiele.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Confidence,Texture,Sexuality,,,,,,,,,,,,
Self Portrait - Picasso.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Color,Texture,Deconstruction,Vacancy,,,,,,,,,,,
Self Portrait as a Soldier - Kirchner.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Strife/Pain,Fear,Drama,,,,,,,,,,,,
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Confidence,Texture,Uneasiness,Youth,,,,,,,,,,,
Small Pleasures - Kandinsky.jpg,Wholly Abstract,,,,,,,,,,,,,,,,,
Street Berlin - Kirchner.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Social Consciousness,Occupation of Time,Community/Family,Drama,Fast Pace,Color,Texture,Gender,,,
Street Dresden - Kirchner.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Urban Realm,Chores,Social Consciousness,Color,Isolation,Fast Pace,Uneasiness,Occupation of Time,,,,,,
The Absinthe Drinker - Picasso.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Rest/Liesure,Dining,the Mind,Occupation of Time,Casual,Social Consciousness,,,,,,,
The Blue Rider - Kandinsky.jpg,Semi-Abstract,Genre,Outdoors,Private Domain,Rural Realm,Chores,Spirituality,Occupation of Time,Nature Interaction,Texture,Lively,,,,,,,
The Dance of Life - Munch.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Conflict,Cycle of life,the Mind,Love,Sexuality,Isolation,Drama,Color,Uneasiness,,
The Scream - Munch.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Strife/Pain,Isolation,Texture,Color,Lively,Uneasiness,,,,,,,,,
The World Cow - Marc.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Spirituality,Joy,Color,Deconstruction,Greatness,,,,,,,
The Yellow Man - Malfatti.jpg,Semi-Abstract,Genre,Indoors,Public Domain,Urban Realm,Festivity/Celebration,Rest/Liesure,Occupation of Time,Social Consciousness,Drama,Color,Confidence,Beauty,,,,,
