Name,Mode,Diversity,Intensity,Harmony,Contrast
Cliff Walk at Pourville - Monet.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Dal du moulin de la Galette - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Girl with Peaches - Serov.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Grainstack - Monet.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,
Haystacks - Monet.jpg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,
Hoarfrost - Pissarro.jpg,Capture Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,
Hunting Butterflies - Morisot.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,
In the Loge - Cassatt.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
La Gare Saint-Lazare - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
La Loge - Renoir.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,
La Promenade - Renoir.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Les Bain a la Grenoullere - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Little Girl in a Blue Armchair - Cassatt.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Luncheon on the Grass - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Madame Georges Charpentier - Renoir.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Man at his Bath - Caillebotte.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Poplars - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Study - Renior.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Basin at Argenteuil - Monet.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Bellelli Family - Degas.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Childs Bath - Cassatt.jpg,Naturalistic Color,Highly Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
The Cradle - Morisot.jpg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Girl Covered by the Sun - Serov.jpg,Capture Color,Similar Hue,True Tone,Harmonious Color,
The Grands Boulevard - Renoir.jpg,Capture Color,Highly Diverse Hue,True Tone,Harmonious Color,
The Harbor at Lorient - Morisot.jpg,Capture Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Swing - Renoir.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
The Water Lilies - Monet.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,
Two Sisters - Renoir.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Visit to a Museum - Degas.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Woman with the Pearl Necklace - Cassatt.jpg,Capture Color,Similar Hue,Vibrant Tone,Harmonious Color,
Women in the Garden - Monet.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Floor Scrappers - Caillebotte.jpeg,,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Impression Sunrise - Monet.jpeg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,
Luncheon of the Boating Party - Renoir.jpeg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Paris Street Rainy Day - Caillebotte.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Poppies - Monet.jpeg,Capture Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,
The Ballet Class - Degas.jpeg,Capture Color,Similar Hue,Muted/Tinted,Harmonious Color,
The Boulevard Montmarte - Pissaro.jpeg,Capture Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Woman with a Parasol - Monet.jpeg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Women Walking on a Beach - Sorolla.jpeg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Achilles Receiving the Ambassadors of Agamemnon.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Ancient Rome - Panini.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Aqueduct in Ruins - Robert.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Benjamin Franklin Drawing Electricity from the Sky - West.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Charles Towneley in his sculpture gallery - Zoffany.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Cornelia Pointing to her Children as Her Treasures - Kauffmann.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Diana and Cupid - Batoni.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Fantasy view - Panini.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Johann Joachim Winckelmann.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Judgement of Paris - Mengs.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Julie Lebrun as Flora - Le Brun.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Jupiter and Thetis - Ingres.jpg,Naturalistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Madame Raymod de Verninac - David.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Modern Romania - Tattarescu.jpg,Naturalistic Color,Monochrome Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Napoleon Crossing the Alps - David.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Napoleon I on his Imperial Throne - Ingres.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Perseus and Andromeda - Leighton.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Antoine-Laurent Lavoisier and his wife - David.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Citizen Jean-Baptiste Belley - Trioson.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Portrait of Madame Recamier - David.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Portrait of Madeline - Benoist.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Portrait of Susanna van Collen nee Mogge and her daughter - Numan.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Self-portrait - Benoist.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Anger of Achilles - David.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Architects Dream - Cole.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Death of Nelson - West.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Death of Seneca - David.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Death of Socrates - David.jpg,Naturalistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Emperor Napoleon in his Study at the Tuileries - David.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Intervention of the Sabine Woman - David.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Lictors Returning to Brutus the Bodies of his sons - David.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Sleep of Endymion - Girodet.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Virgil reading to Augustus - Ingres.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Burial of Atala - Trioson.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
Dante and Virgil - Bouguereau.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
L'excommunication de Robert le Pieux - Laurens.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Leonidas at Thermopylae - David.jpeg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Oedipus Explaining the Enigma of the Sphinx - Ingres.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Monsieur Bertin - Inres.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Princesse de Broglie - Ingres.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Artist and His Family - West.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Coronation of Napoleon - David.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Cupid Seller - Vien.jpeg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
The Damsel and Orlando - West.jpeg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
The Death of General Wolfe - West.jpeg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Death of Leonardo da Vinci - Ingres.jpeg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Death of Marat - David.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Explusion of Adam and Eve from Paradise - West.jpeg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Oath of Horatii - David.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
A Sunday on La Grande Jatte.jpg,Naturalistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,
A Wheatfield with Cypresses - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Arearea - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,
At the Moulin Rouge - Lautrec.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Bathers - Cezanne.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Boy in a Red Vest - Cezanne.jpg,Capture Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,
Breton Girls Dancing - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Cafe Terrace at Night - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Coastal Landscape from Martinique - Gauguin.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Coming and Going - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Day of God - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Evening Calm - Signac.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Harvest at La Crau - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Irises - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
Le Chahut - Seurat.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Madame Cezanne - Cezanne.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Models - Seurat.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,
Mont Sainte-Victorie - Cezanne.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Morning Calm - Signac.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Parade de cirque - Seurat.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,
Paul Alexis reading to Emile Zola - Cezanne.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast
Road with Cypress and Star - van Gogh.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Seascape Near Les Saintes - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Self-portrait in a hat - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Self-portrait with bandaged ear - van gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,
Spirit of the Dead Watching - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Starry Night over the Rhone - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,
Still Life with Plaster Cupid - Cezanne.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Basket of Apples - Cezanne.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Bather - Cezanne.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Bedroom - van Gogh.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
The Card Players - Cezanne.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Church at Auvers - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,
The Dream - Rosseau.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Mango Trees - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,
The Painter of Sunflowers - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Red Cow - Gauguin.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
The Red Rock - Cezanne.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
The Sleeping Gypsy - Rosseau.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Starry Night - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,
Tiger in a Tropical Storm - Rosseau.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Tropical Conversation - Gauguin.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,
Turning Road at Montgeroult - Cezanne.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Vision after the Sermon - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Wheatfield with Crows - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
When will you marry - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Expressionistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast
Still Life with Apples - Cezanne.jpeg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
A Burial at Ornans - Courbet.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
A Loge at the Theater des Italiens - Gonzales.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
Autum Day - Levitan.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,
Autumn Bouquet - Repin.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,
Bar at the Folies-Bergere - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Barge Haulers on the Volga - Repin.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,
Corner of a Cafe-Concert - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Emile Zola - Manet.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Family Portrait - Ostade.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Femme nu Couchee - Courbet.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Golden Autumn - Levitan.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Hawning Apprentice - Mankacsy.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Hunters at Rest - Perov.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
In the Conservatory - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Ivan the Terrible and His Son Ivan - Repin.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Jewess with Oranges - Gierymski.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
L'Angelus - Millet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
La rencontre - Courbet.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Les Demoiselles du bord de la Seine - Courbet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Morning in a Pine Forest - Shishkin.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Music in the Tuileries Gardens - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Olympia - Manet.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Ploughing in the Nivernais - Bonheur.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Plum Brandy - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of an Unknown Woman - Kramskoi.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Science and Charity - Picasso.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Sheep in the Highlands - Bonheur.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,
Taking a Snow Town - Surikov.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Apotheosis of War - Vereschchagin.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Daughters of Edward Darley Boit.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
The Fifer - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The First Mourning - Bouguereau.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Gleaners - Millet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Little Cavaliers - Manet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Morning of the Streltsy Execution - Surikov.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Painter's Studio - Courbet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Railway - Manet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Rooks Have Come Back - Savrasov.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Violoncellist - Courbet.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Wheat Sifters - Courbet.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
Valley of the Loue - Courbet.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Whistler's Mother - Whistler.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Luncheon on the Grass - Manet.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
Silent Monastary - Levitan.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Potato Eaters - van Gogh.jpeg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Shepherdess - Bouguereau.jpeg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Stone Breakers - Courbet.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
A goldsmith in his shop - Christus.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Adoration of the Kings - van der Goes.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Adoration of the Magi - Botticelli.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Arnolfini Portrait - van Eyck.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Baptism of Christ - Verrocchio.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Birth of the Virgin - Ghirlandaio.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Calumny of Apelles - Botticelli.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Christ and the Virgin - Campin.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Crucifixion with the Virgin and St. John - van der weyden.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Danae - Correggio.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Death of the Virgin - Mantegna.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
La Primavera (Spring) - Botticelli.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Lamentation of Christ - Mantegna.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Madonna and Child - Crivelli.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Madonna in the Church - van Eyck.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Madonna of the Meadow - Raphael.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Mona Lisa - da Vinci.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Pastoral Concert - Titian.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Pieta - Bellini.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Pieta of Villeneuve les avignon.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
