Name,Mode,Diversity,Intensity,Harmony,Contrast
Portrait of a Man with a Medal of Cosimo il Vecchio de' Medici - Botticelli.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Portrait of a Young Girl - Christus.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of a Young Woman - Botticelli.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Portrait of Eleonora Gonzaga - Titian.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Francesco Maria Della Rovere - Titian.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Pope Julius II - Raphael.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Portrait of Sultan Mehmed II - Bellini.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Saint Luke Painting the Madonna - Gossaert.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Saint Sebastian - Mentegna.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
School of Athens - Raphael.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Self Portrait - Durer.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Sleeping Venus - Giorgione.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Ambassadors - Holbein.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Annunciation - Fra Angelico.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Birth of Venus - Botticelli.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Creation of Adam - Michelangelo.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Crowning wiht Thorns - Titian.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
The Damned Cast into Hell - Signorelli.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Last Judgement - Michelangelo.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Last Supper - da Vinci.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Sistine Madonna - Raphael.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Tempest - Giorgione.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The tower of babel - Bruegel.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The virgin and child with saint and donor - david.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Three Philosophers - Giorgione.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Two Witches - Grien.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Archduchess Marie Antionette Queen of France - LeBrun.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Boy with a Spinning Top - Chardin.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Charles III Dining Before the Court - Prado.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,
Cupid and Psyche - West.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Diana after a bath - Boucher.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Diana After the Hunt - Boucher.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Dresden - Bellotto.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Elizabeth Trubetskaya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Hercules and Omphale.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
La Toilette de Venus - Boucher.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,,Blended Color Contrast
Les Plaisirs du Bal - Watteau.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,
Luncheon with Ham - Lancret.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Madame Bergeret - Francois.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Madame de Pompadour - Boucher.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Marie Antoinette and Her Children - Le Brun.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Marrigae a la mode - Hogarth.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Mr and Mrs William Hallett - Gainsborough.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,
Mrs Richard Brinsley Sheridan - Gainsborough.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,
Mrs Sarah Siddons - Gainsborough.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,,Blended Color Contrast
Piazza San Marco - Canaletto.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Pierrot - Watteau.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Pilgrimage to Cythera - Watteau.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Portrait of Louis XV - Ranc.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Portrait of Prokofiy Demidov - Levitsky.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Satan Sin and Death - Hogarth.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Self Portrait with Straw Hat - Le Brun.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Soap Bubbles - Chardin.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Archers - Reynolds.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Banquet of Cleopatra - Tiepolo.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Bathers - Fragonard.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
The Blue Boy - Gainsborough.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Declaration of Love - de Troy.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Entrance to the Grand Canal Venice - Canaletto.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Fountain of Love - Fragonard.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Gate of Calais - Hogarth.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Graham Children - Hogarth.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Honorable Mrs Graham.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
The Ladies Waldegrave - Reynolds.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Lock - Fragonard.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Prearranged Flight - Fragonard.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Progress of Love The Pursuit - Fragonard.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,
The Progress of Love.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,
The Scale of Love- Watteau.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,
The Stolen Kiss - Fragonard.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Toilet of Venus Boucher.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Triumph of Venice - Pompeo.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Triumph of Venus - Boucher.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
The Village Bride - Greuze.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Swing - Fragonard.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
Alyonushka.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Charles IV of Spain and His Family - Goyta.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Christ on the Sea of Galilee - Delacroix.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,
Dido building Carthage - Turner.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Entry of the Crusaders in Constantinople - Delacroix.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Fishermen at Sea - Turner.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Hylas and the Nymphs - Waterhouse.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Jewish wedding in Morocco - Delacroix.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Knight at the Crossroads - Vasnetsov.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
La maja desnuda - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Lady Lilith - Rossetti.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Medea - Delacroix.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Modern Rome - Turner.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Saturn Devouring one of his Sons - Lucientes.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,
Self-portrait with Dr Arrieta - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Snow Storm - Turner.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,
The Abbey in the Oakwood - Friedrich.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Barque of Dante - Delacroix.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Battle of Trafalgar - Turner.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Black Duchess - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Burning of the Houses of Parliament - Turner.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
The Charging Chasseur - Gericault.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Clothed Maja - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Colossus - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,
The Death of Sardanapalus - Delacroix.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Desperate Man - Courbet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Family of Infante Don Luis - Goya.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Fighting Temeraire - Turner.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,
The Hay Wain - Constable.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
The Kiss - Hayez.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Lonely Tree - Friedrich.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Massacre at Chios - Delacroix.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Monk by the Sea - Friedrich.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
The Nightmare - Fuseli.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Ninth Wave - Aivazovsky.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Sea of Ice - Friedrich.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Second of May 1808 - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Shipwreck - Turner.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
The Slave Ship - Turner.jpg,Capture Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
The Third of May 1808 - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Watson and the Shark - Copley.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Witches' Flight - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Witches' Sabbath - Goya.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,
Wreckers Coast of Northumberland - Turner.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,
Bridal Procession on the  Hardangerfjord - Gude.jpeg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Chalk Cliffs on Rugen - Friedrich.jpeg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Lady Libert Leading the People - Delocroix.jpeg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
The Raft of the Medusa - Geriacault.jpeg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Wanderer above the sea of fog - Friedrich.jpeg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
A dream caused by the flight of a bee - Dal.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Apparition of Face and Fruit Dish on a Beach - Dali.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Battle of Fishes - Masson.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Christ of St John of the Cross - Dali.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Elephants - Dali.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Europe after the Rain II - Ernst.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Galatea of the Spheres - Dali.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Geopoliticus Child Watching the Birth of the New Man - Dali.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Girl with Death Mask - Kahlo.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,
Golconda - Magritte.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Grandma Moorheads aromatic cuisine - Carrington.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Hand with Reflecting Mirror - Escher.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Harlequin's Carnival - Miro.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Landscape - Breton.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast
Mama Papa is Wounded - Tanguy.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Man in a Bowler Hat - Magritte.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Marxism will heal the sick - Kahlo.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
Melting Watch - Dali.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Metamorphosis of Narcissus - Dali.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Not to be Reproduced - Magritte.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Persistence of Memory - Dali.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Philosopher's Lamp - Magritte.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Self Portrait - Carrington.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
Swans Reflecting Elephants - Dali.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Anti-pope - Ernst.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Barbarians - Ernst.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
The Burning Giraffe - Dali.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Castle of the Pyrenees - Magritte.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Disintegration of the Persistence of Memory - Dali.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Elephant Celebes - Ernst.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Giantess - Carrington.jpg,Naturalistic Color,Highly Diverse Hue,Muted/Tinted,Harmonious Color,
The Great Masturbator - Dali.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Lovers - Magritte.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Menaced Assassin - Magritte.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast
The Sacrament of the Last Supper - Dali.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Son of Man - Magritte.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
The Temptation of St Anthony - Dali.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Treachery of Images - Magritte.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
The Triumph of Surrealism - Ernst.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Tilled Field - Miro.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Time Transfixed - Magritte.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Tuna Fishing - Dali.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,
White Crucifixion - Chagall.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,
Without Hope - Kahlo.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Woman Old Man and Flower - Ernst.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,,Stark Color Contrast
Portrait of Max Ernst - Carrington.jpeg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
The Broken Column - Kahlo.jpeg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
The Hallucinogenic Toreador - Dali.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
The Robing of the Bride - Ernst.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Random0.jpg,Random,,,,
Random1.jpg,Random,,,,
Random10.jpg,Random,,,,
Random11.jpg,Random,,,,
Random12.jpg,Random,,,,
Random13.jpg,Random,,,,
Random14.jpg,Random,,,,
Random15.jpg,Random,,,,
Random16.jpg,Random,,,,
Random17.jpg,Random,,,,
Random18.jpg,Random,,,,
Random19.jpg,Random,,,,
Random2.jpg,Random,,,,
Random20.jpg,Random,,,,
Random21.jpg,Random,,,,
Random22.jpg,Random,,,,
Random23.jpg,Random,,,,
Random24.jpg,Random,,,,
Random25.jpg,Random,,,,
Random26.jpg,Random,,,,
Random27.jpg,Random,,,,
Random28.jpg,Random,,,,
Random29.jpg,Random,,,,
Random3.jpg,Random,,,,
Random30.jpg,Random,,,,
Random31.jpg,Random,,,,
Random32.jpg,Random,,,,
Random33.jpg,Random,,,,
Random34.jpg,Random,,,,
Random35.jpg,Random,,,,
Random36.jpg,Random,,,,
Random37.jpg,Random,,,,
Random38.jpg,Random,,,,
Random39.jpg,Random,,,,
Random4.jpg,Random,,,,
Random40.jpg,Random,,,,
Random41.jpg,Random,,,,
Random42.jpg,Random,,,,
Random43.jpg,Random,,,,
Random44.jpg,Random,,,,
Random45.jpg,Random,,,,
Random46.jpg,Random,,,,
Random47.jpg,Random,,,,
Random48.jpg,Random,,,,
Random5.jpg,Random,,,,
Random6.jpg,Random,,,,
Random7.jpg,Random,,,,
Random8.jpg,Random,,,,
Random9.jpg,Random,,,,
RandomShapes0.jpg,Random Shapes,,,,
RandomShapes1.jpg,Random Shapes,,,,
RandomShapes10.jpg,Random Shapes,,,,
RandomShapes11.jpg,Random Shapes,,,,
RandomShapes12.jpg,Random Shapes,,,,
RandomShapes13.jpg,Random Shapes,,,,
RandomShapes14.jpg,Random Shapes,,,,
RandomShapes15.jpg,Random Shapes,,,,
RandomShapes16.jpg,Random Shapes,,,,
RandomShapes17.jpg,Random Shapes,,,,
RandomShapes18.jpg,Random Shapes,,,,
RandomShapes19.jpg,Random Shapes,,,,
RandomShapes2.jpg,Random Shapes,,,,
RandomShapes20.jpg,Random Shapes,,,,
RandomShapes21.jpg,Random Shapes,,,,
RandomShapes22.jpg,Random Shapes,,,,
RandomShapes23.jpg,Random Shapes,,,,
RandomShapes24.jpg,Random Shapes,,,,
RandomShapes25.jpg,Random Shapes,,,,
RandomShapes26.jpg,Random Shapes,,,,
RandomShapes27.jpg,Random Shapes,,,,
RandomShapes28.jpg,Random Shapes,,,,
RandomShapes29.jpg,Random Shapes,,,,
RandomShapes3.jpg,Random Shapes,,,,
RandomShapes30.jpg,Random Shapes,,,,
RandomShapes31.jpg,Random Shapes,,,,
RandomShapes32.jpg,Random Shapes,,,,
RandomShapes33.jpg,Random Shapes,,,,
RandomShapes34.jpg,Random Shapes,,,,
RandomShapes35.jpg,Random Shapes,,,,
RandomShapes36.jpg,Random Shapes,,,,
RandomShapes37.jpg,Random Shapes,,,,
RandomShapes38.jpg,Random Shapes,,,,
RandomShapes39.jpg,Random Shapes,,,,
RandomShapes4.jpg,Random Shapes,,,,
RandomShapes40.jpg,Random Shapes,,,,
RandomShapes41.jpg,Random Shapes,,,,
RandomShapes42.jpg,Random Shapes,,,,
RandomShapes43.jpg,Random Shapes,,,,
RandomShapes44.jpg,Random Shapes,,,,
RandomShapes45.jpg,Random Shapes,,,,
RandomShapes46.jpg,Random Shapes,,,,
RandomShapes47.jpg,Random Shapes,,,,
RandomShapes48.jpg,Random Shapes,,,,
RandomShapes5.jpg,Random Shapes,,,,
RandomShapes6.jpg,Random Shapes,,,,
RandomShapes7.jpg,Random Shapes,,,,
RandomShapes8.jpg,Random Shapes,,,,
RandomShapes9.jpg,Random Shapes,,,,
uniform0.jpg,Uniform,,,,
uniform1.jpg,Uniform,,,,
uniform10.jpg,Uniform,,,,
uniform11.jpg,Uniform,,,,
uniform12.jpg,Uniform,,,,
uniform13.jpg,Uniform,,,,
uniform14.jpg,Uniform,,,,
uniform15.jpg,Uniform,,,,
uniform16.jpg,Uniform,,,,
uniform17.jpg,Uniform,,,,
uniform18.jpg,Uniform,,,,
uniform19.jpg,Uniform,,,,
uniform2.jpg,Uniform,,,,
uniform20.jpg,Uniform,,,,
uniform21.jpg,Uniform,,,,
uniform22.jpg,Uniform,,,,
uniform23.jpg,Uniform,,,,
uniform24.jpg,Uniform,,,,
uniform25.jpg,Uniform,,,,
uniform26.jpg,Uniform,,,,
uniform27.jpg,Uniform,,,,
uniform28.jpg,Uniform,,,,
uniform29.jpg,Uniform,,,,
uniform3.jpg,Uniform,,,,
uniform30.jpg,Uniform,,,,
uniform31.jpg,Uniform,,,,
uniform32.jpg,Uniform,,,,
uniform33.jpg,Uniform,,,,
uniform34.jpg,Uniform,,,,
uniform35.jpg,Uniform,,,,
uniform37.jpg,Uniform,,,,
uniform38.jpg,Uniform,,,,
uniform39.jpg,Uniform,,,,
uniform4.jpg,Uniform,,,,
uniform40.jpg,Uniform,,,,
uniform41.jpg,Uniform,,,,
uniform42.jpg,Uniform,,,,
uniform43.jpg,Uniform,,,,
uniform44.jpg,Uniform,,,,
uniform45.jpg,Uniform,,,,
uniform46.jpg,Uniform,,,,
uniform47.jpg,Uniform,,,,
uniform48.jpg,Uniform,,,,
uniform49.jpg,Uniform,,,,
uniform5.jpg,Uniform,,,,
uniform6.jpg,Uniform,,,,
uniform7.jpg,Uniform,,,,
uniform8.jpg,Uniform,,,,
uniform9.jpg,Uniform,,,,
