Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A Woman playing a clavichord.jpg,Indoors,Private Domain,,Recreation,Occupation of Time,Peace,Comfort,Casual,,,,,,,,,
Aristotle with a bust of homer - Rembrant.jpg,Thinker/Artist,Genius,Thoughtful,Greatness,Texture,,,,,,,,,,,,
Bacchanal before a Statue of Pan - Poussin.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Community/Family,Social Consciousness,Morality,Joy,Harmony,Abundance,Lively,Independence,,,,
Charles I with M. de St. Antoine - van Dyck.jpg,Royalty,Status,Power,Strength,Confidence,,,,,,,,,,,,
Death of the Virgin - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Conflict,Spirituality,Cycle of life,Loss,Sadness,Drama,,,,,,
Deposition - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Cycle of life,Morality,Sadness,Drama,Loss,,,,
Education of the Princess - Paul Reubens.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Education,Communication,the Mind,Beauty,Greatness,,,,,,,,
Girl with a pearl earring - vermeer.jpg,Commoner,Beauty/Ideal,Thoughtful,Freshness,Elegance,,,,,,,,,,,,
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,,
Judith Slaying Holofernes - Gentileschi.jpg,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,,
las meninas - Velazquez.jpg,Royalty,Status,Youth,Youth,Elegance,,,,,,,,,,,,
Louis XIV - Rigaud.jpg,Royalty,Status,Power,Greatness,Confidence,Strength,,,,,,,,,,,
Old Woman Cooking Eggs - 1618.jpg,Indoors,Private Domain,Urban Realm,Dining,Chores,Occupation of Time,Community/Family,Casual,,,,,,,,,
Portrait of Charles II - Wright.jpg,Royalty,Status,Power,Beauty/Ideal,Confidence,Strength,Harmony,,,,,,,,,,
Quince Cabbage Melon and Cucumber - Cotan.jpg,Food,,,,,,,,,,,,,,,,
Samson and Delilah - Rubens.jpg,Religious Subgenre,Indoors,Private Domain,Urban Realm,Conflict,Rest/Liesure,Morality,Government,Drama,Ugly,Sexuality,Antiquity,,,,,
Samson and Delilah - van Dyck.jpg,Religious Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Conflict,Morality,Government,Texture,Drama,Ugly,Sexuality,Antiquity,,,,
Self Portrait - Rembrant.jpg,Other/Self/Personal,Exhaustion,Thoughtful,Vacancy,,,,,,,,,,,,,
Self-portrait - Leyster.jpg,Other/Self/Personal,Joy,Status,Comfort,Casual,Gender,,,,,,,,,,,
Singing boy with a flute - Hals.jpg,Indoors,Private Domain,,Recreation,Communication,Occupation of Time,Beauty,Youth,Joy,Texture,Drama,Warm,,,,,
St. John the Baptist in Wilderness - Caravaggio.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Spirituality,the Body,Morality,Drama,Isolation,Harmony,Elegance,,,,
Still life with a sliver ewer - Kalf.jpg,Food,,,,,,,,,,,,,,,,
Still Life with Ebony Chest - Pereda.jpg,Food,Furniture,,,,,,,,,,,,,,,
Still Life with Flowers etc - Peeters.jpg,Food,Flowers/Plants,,,,,,,,,,,,,,,
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,History Subgenre,Indoors,Public Domain,Urban Realm,Education,Communication,Science,the Body,Drama,,,,,,,,
The Arrival of Marie de Medici at Marseille - rubens.jpg,Mythological Subgenre,Outdoors,Public Domain,Urban Realm,Festivity/Celebration,Recreation,Power,Beauty,Drama,Greatness,Lively,Abundance,,,,,
The art of painting - vermeer.jpg,Indoors,Private Domain,,Chores,Recreation,Occupation of Time,Casual,Peace,,,,,,,,,
The Calling of Saint Matthew - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Communication,Rest/Liesure,Spirituality,Morality,Occupation of Time,Drama,Harmony,,,,,
The Consequences of War - Rubens.jpg,Allegorical Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Government,Social Consciousness,Lively,Drama,Strife/Pain,Ugly,,,,,
The Crowning with Thorns - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Social Consciousness,Ugly,Drama,Strife/Pain,Sadness,Morality,,,
The Crucifixion of St. Peter - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Social Consciousness,Ugly,Drama,Strife/Pain,Freshness,Morality,,,
The Feast of St Nicholas - Steen.jpg,Indoors,Private Domain,,Recreation,Rest/Liesure,Festivity/Celebration,Community/Family,Beauty,Joy,Lively,Youth,Love,Occupation of Time,,,,
The Geographer - Vermeer.jpg,Indoors,Private Domain,Urban Realm,Work,Education,Science,Occupation of Time,Dedication,Peace,Casual,,,,,,,
The Immaculate Conception of Los Venerables - Murillo.jpg,Religious Subgenre,Outdoors,Private Domain,,Religious Action,Spirituality,Cycle of life,Morality,Drama,Greatness,,,,,,,
The Jewish Bride - Rembrant.jpg,Indoors,Private Domain,,Religious Action,Love,Community/Family,Texture,Detachment,Harmony,,,,,,,,
The Jewish Cemetary - Ruisdael.jpg,Forest,Buildings,Beauty,Ideal,,,,,,,,,,,,,
The Martyrdom of Saint Serapion - Zurbaran.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Conflict,Spirituality,Social Consciousness,Ugly,Strife/Pain,Drama,Morality,,,,,
The Night Watch - Rembrant.jpg,Government/Military,Dedication,Greatness,Lively,,,,,,,,,,,,,
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Recreation,Festivity/Celebration,Communication,Power,Beauty,Love,Lively,Abundance,,,,,
The Proposition - Leyster.jpg,Indoors,Private Domain,,Rest/Liesure,Chores,Communication,Conflict,Social Consciousness,Morality,Occupation of Time,Drama,Dedication,Freshness,,,,
The Rape of the Daughters of Leucippus.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Violence,Conflict,Drama,Ugly,Lively,Fear,Sexuality,the Body,Morality,,,,
The Supper at Emmaus - Caravaggio.jpg,Religious Subgenre,Indoors,Private Domain,,Dining,Conflict,Communication,Community/Family,Cycle of life,Morality,Drama,Harmony,,,,,
The Triumph of Bacchus - Velazquez.jpg,Mythological Subgenre,Outdoors,Public Domain,Rural Realm,Recreation,Dining,Festivity/Celebration,Beauty,Occupation of Time,Lively,Joy,Warm,Patriotism,,,,
The Waterseller of Seville - Velazquez.jpg,Indoors,Public Domain,,Work,Occupation of Time,Dedication,Detachment,,,,,,,,,,
Venus Mars and Cupid - Rubens.jpg,Mythological Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,Community/Family,Cycle of life,the Body,Joy,Sensual,Intimacy,Beauty,Love,,,
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Farm/grassland,Buildings,Peaceful,Beauty,Ideal,,,,,,,,,,,,
Vulcan's Forge - Velazquez.jpg,Mythological Subgenre,Indoors,Public Domain,,Communication,Work,Conflict,Community/Family,Love,Morality,Lively,Harmony,Drama,,,,
Woman with a water jug - Vermeer.jpg,Indoors,Private Domain,,Chores,Occupation of Time,Peace,Joy,Freshness,,,,,,,,,
Women Regents - Hals.jpg,Religious,Serious,Dedication,Exhaustion,,,,,,,,,,,,,
Big Nude - Braque.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Occupation of Time,Color,Texture,Deconstruction,,,,,,,,
Bottle and Fishes - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
Bottle and Glass on a Table - Gris.jpg,,,,,,,,,,,,,,,,,
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
Contrast of Forms - Leger.jpg,,,,,,,,,,,,,,,,,
Cubist Self Portrait - Dali.jpg,Other/Self/Personal,Deconstruction,,,,,,,,,,,,,,,
Daniel-Henry Kahnweiler - Picasso.jpg,Other/Self/Personal,Deconstruction,,,,,,,,,,,,,,,
Dora Maar au Chat - Picasso.jpg,Thinker/Artist,Beauty/Ideal,Greatness,Color,Mischievous,Deconstruction,,,,,,,,,,,
Fruit Dish and Glass - Braque.jpg,Food,Deconstruction,,,,,,,,,,,,,,,
Gala and the Angelus of Millet - Dali.jpg,Indoors,Private Domain,,Rest/Liesure,the Mind,Occupation of Time,Isolation,Drama,Color,,,,,,,,
Girl Before A Mirror - Picasso.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Beauty,Color,Deconstruction,Vacancy,,,,,,,,
Girl with Mandolin - Picasso.jpg,Commoner,,Deconstruction,,,,,,,,,,,,,,
Gueridon - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
Guernica - Picasso.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Violence,Conflict,Government,Social Consciousness,Ugly,Strife/Pain,Deconstruction,Drama,Sadness,Morality,,,
Guitar - Picasso.jpg,,Deconstruction,,,,,,,,,,,,,,,
Houses at l'Estaque - Braque.jpg,City,Buildings,Mystery,Deconstruction,,,,,,,,,,,,,
Jacqueline Kneeling - Picasso.jpg,Other/Self/Personal,Greatness,Serious,Vacancy,Isolation,Detachment,,,,,,,,,,,
L'Oiseau bleu - Metzinger.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Deconstruction,Lively,,,,,,,,,,
La Femme aux Phlox - Gleizes.jpg,Indoors,Private Domain,,Work,Occupation of Time,Deconstruction,Peace,,,,,,,,,,
Ma Joile - Picasso.jpg,,,,,,,,,,,,,,,,,
Man with a Pipe - Picasso.jpg,Commoner,,Deconstruction,Joy,,,,,,,,,,,,,
Nature morte au compotier - Picasso.jpg,Furniture,Food,Deconstruction,,,,,,,,,,,,,,
Nude Descending a Staircase - Duchamp.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,the Body,Occupation of Time,Deconstruction,,,,,,,,,,
Painter and Model - Picasso.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Occupation of Time,Vacancy,Deconstruction,Color,,,,,,,,,
Paris Through a Window - Chagall.jpg,City,Buildings,,Color,Lively,,,,,,,,,,,,
Portrait of Ambroise Vollard - Picasso.jpg,Thinker/Artist,Greatness,Genius,Thoughtful,Deconstruction,,,,,,,,,,,,
Portrait of Dora Maar - Picasso.jpg,Other/Self/Personal,Beauty/Ideal,Status,Deconstruction,Color,Confidence,,,,,,,,,,,
Portrait of Pablo Picasso - Gris.jpg,Thinker/Artist,Genius,Greatness,Deconstruction,,,,,,,,,,,,,
Self Portrait with Seven Fingers - Chagall.jpg,Other/Self/Personal,Thoughtful,Dedication,Detachment,Deconstruction,Color,,,,,,,,,,,
Still life with Clarinet - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
The City - Delaunay.jpg,City,Buildings,,Deconstruction,,,,,,,,,,,,,
The City - Leger.jpg,City,Buildings,Bountiful/Giving,Fast Pace,Color, Deconstruction,,,,,,,,,,,
The Eiffel Tower - Delaunay.jpg,City,Buildings,,Deconstruction,,,,,,,,,,,,,
The Green Violinist - Chagall.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Spirituality,Community/Family,Social Consciousness,Color,Joy,,,,,,,,
The Open Window - Gris.jpg,Furniture,,Deconstruction,,,,,,,,,,,,,,
The Portuguese - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
The Reservoir - Picasso.jpg,City,Buildings,,Deconstruction,,,,,,,,,,,,,
The Round Table - Braque.jpg,Furniture,,Deconstruction,,,,,,,,,,,,,,
The Table - Gris.jpg,Furniture,Deconstruction,,,,,,,,,,,,,,,
Three Musicians - Picasso.jpg,Indoors,Public Domain,Urban Realm,Recreation,Occupation of Time,Deconstruction,Harmony,Color,,,,,,,,,
Three Women - Picasso.jpg,,Deconstruction,Sensual,,,,,,,,,,,,,,
Violin and Candlestick - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
Violin and Checkerboard - Gris.jpg,,Deconstruction,Color,Lively,,,,,,,,,,,,,
Violin and Guitar - Gris.jpg,,Deconstruction,,,,,,,,,,,,,,,
Violin and Palette - Braque.jpg,,Deconstruction,,,,,,,,,,,,,,,
Woman in Hat with a Fur Collar - Picasso.jpg,Commoner,Beauty/Ideal,Thoughtful,Deconstruction,Color,,,,,,,,,,,,
Woman with Guitar - Braque.jpg,Indoors,Private Domain,,Recreation,Occupation of Time,Deconstruction,,,,,,,,,,,
Zapata-style Landscape - Rivera.jpg,Mountain,,Beauty,,Deconstruction,Harmony,,,,,,,,,,,
Guitar on a table - Gris.jpeg,Furniture,,Deconstruction,Color,,,,,,,,,,,,,
All Saints - Kandinsky.jpg,Religious Subgenre,Outdoors,Public Domain,,Religious Action,Festivity/Celebration,Spirituality,Lively,Joy,Color,,,,,,,
All Saints I - Kandinsky.jpg,Religious Subgenre,Outdoors,Public Domain,,Religious Action,Festivity/Celebration,Spirituality,Color,Lively,Deconstruction,,,,,,,
Blue Horse I - Marc.jpg,Outdoors,Public Domain,Rural Realm,,Beauty,the Mind,Spirituality,Minimalism,Color,Joy,Lively,Harmony,,,,,
Blue Horses - Marc.jpg,Outdoors,Public Domain,Rural Realm,,Color,Minimalism,Harmony,Spirituality,Peace,Beauty,,,,,,,
Boy Leading a Horse - Picasso.jpg,Outdoors,Public Domain,Rural Realm,Chores,the Body,Minimalism,Harmony,,,,,,,,,,
Castle and Sun - Klee.jpg,City,Buildings,,Deconstruction,Lively,Color,,,,,,,,,,,
Death in a Sickroom - Munch.jpg,Indoors,Private Domain,,Rest/Liesure,Conflict,,Cycle of life,Community/Family,Strife/Pain,Sadness,Uneasiness,Loss,,,,,
Dog Lying in the Snow - Marc.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,,Beauty,Color,Joy,Minimalism,Color,Harmony,,,,,,
Evening on Karl Johan Street - Munch.jpg,Outdoors,Public Domain,Urban Realm,Recreation,,Community/Family,Social Consciousness,the Mind,Isolation,Vacancy,Uneasiness,,,,,,
Fighting Forms - Marc.jpg,,,,,,,,,,,,,,,,,
Girls on the Bridge - Munch.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Occupation of Time,Beauty,Joy,Youth,Nature Interaction,Harmony,,,,,,,
Grazing Horses IV - Marc.jpg,Outdoors,Public Domain,Rural Realm,,Beauty,Color,Joy,Texture,Lively,Harmony,,,,,,,
Harmony in Red - Matisse.jpg,Indoors,Private Domain,,Rest/Liesure,Dining,Occupation of Time,Harmony,Comfort,,,,,,,,,
Hermits - Schiele.jpg,Outdoors,Public Domain,Urban Realm,,Social Consciousness,Strife/Pain,Ugly,Sadness,Uneasiness,,,,,,,,
Improvisation 28 - Kandinsky.jpg,,,,,,,,,,,,,,,,,
L'Atelier Rouge - Matisse.jpg,Furniture,,Minimalism,Color,,,,,,,,,,,,,
Little Blue Horse - Marc.jpg,Outdoors,Public Domain,Rural Realm,,Beauty,Color,Minimalism,Lively,Harmony,,,,,,,,
Love and Pain - Munch.jpg,Indoors,Private Domain,,Rest/Liesure,,Love,Strife/Pain,Color,Texture,Drama,Sensual,,,,,,
Migrants - Portinari.jpg,Outdoors,Public Domain,Rural Realm,Work,Conflict,Ugly,Strife/Pain,Sadness,Texture,Drama,Government,Social Consciousness,Morality,,,,
Nude at Rest - Balthus.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Sensual,Sexuality,Peace,Harmony,Warm,,,,,,,
Nude Sitting on a Divan - Modigliani.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Color,Sexuality,Confidence,,,,,,,,,
Portrait of Luna Czechowski - Modigliani.jpg,Other/Self/Personal,Beauty/Ideal,Greatness,Greatness,Confidence,,,,,,,,,,,,
Portrait of Wally - Schiele.jpg,Other/Self/Personal,Greatness,Beauty/Ideal,Texture,Uneasiness,Confidence,Thoughtful,Strength,Sexuality,,,,,,,,
Potsdamer Platz - Kirchner.jpg,Outdoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Community/Family,Social Consciousness,Color,Texture,Uneasiness,Fast Pace,Isolation,Vacancy,Drama,,,
Puberty - Munch.jpg,Indoors,Private Domain,,Rest/Liesure,Conflict,Cycle of life,the Body,Isolation,Fear,Uneasiness,Sexuality,,,,,,
Seated Male Nude - Schiele.jpg,Other/Self/Personal,Youth,Uneasiness,Strife/Pain,Isolation,Drama,Sexuality,Strife/Pain,,,,,,,,,
Seated Nude - Modigliani.jpg,Other/Self/Personal,Beauty/Ideal,Color,Sensual,Comfort,Casual,,,,,,,,,,,
Seated Woman with Bent Knee - Schiele.jpg,Other/Self/Personal,Confidence,Texture,Sexuality,,,,,,,,,,,,,
Self Portrait - Picasso.jpg,Other/Self/Personal,Color,Texture,Deconstruction,Vacancy,,,,,,,,,,,,
Self Portrait as a Soldier - Kirchner.jpg,Other/Self/Personal,Strife/Pain,Fear,Drama,,,,,,,,,,,,,
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Other/Self/Personal,Confidence,Texture,Uneasiness,Youth,,,,,,,,,,,,
Small Pleasures - Kandinsky.jpg,,,,,,,,,,,,,,,,,
Street Berlin - Kirchner.jpg,Outdoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Social Consciousness,Occupation of Time,Community/Family,Drama,Fast Pace,Color,Texture,Gender,,,,
Street Dresden - Kirchner.jpg,Outdoors,Public Domain,Urban Realm,Chores,Social Consciousness,Color,Isolation,Fast Pace,Uneasiness,Occupation of Time,,,,,,,
The Absinthe Drinker - Picasso.jpg,Indoors,Public Domain,Urban Realm,Rest/Liesure,Dining,the Mind,Occupation of Time,Casual,Social Consciousness,,,,,,,,
The Blue Rider - Kandinsky.jpg,Outdoors,Private Domain,Rural Realm,Chores,Spirituality,Occupation of Time,Nature Interaction,Texture,Lively,,,,,,,,
The Dance of Life - Munch.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Conflict,Cycle of life,the Mind,Love,Sexuality,Isolation,Drama,Color,Uneasiness,,,
The Scream - Munch.jpg,Other/Self/Personal,Strife/Pain,Isolation,Texture,Color,Lively,Uneasiness,,,,,,,,,,
The World Cow - Marc.jpg,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Spirituality,Joy,Color,Deconstruction,Greatness,,,,,,,,
The Yellow Man - Malfatti.jpg,Indoors,Public Domain,Urban Realm,Festivity/Celebration,Rest/Liesure,Occupation of Time,Social Consciousness,Drama,Color,Confidence,Beauty,,,,,,
Tower of Blue Horses - Marc.jpg,Outdoors,Public Domain,Rural Realm,,Spirituality,Color,Greatness,Harmony,,,,,,,,,
Yellow Cow - Marc.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Spirituality,Joy,Color,Harmony,Lively,Gender,Beauty,,,,,,
Young girl in a flowered hat - Jawlensky.jpg,Indoors,Private Domain,,Rest/Liesure,Beauty,Color,Texture,Comfort,Detachment,,,,,,,,
Young girl with yellow flowers in the glass - Becker.jpg,Indoors,Private Domain,,Chores,Occupation of Time,Youth,Vacancy,,,,,,,,,,
Death and Fire - Klee.jpeg,Outdoors,Private Domain,,Conflict,,Cycle of life,Color,Strife/Pain,,,,,,,,,
Fish Magic - Klee.jpeg,Flowers/Plants,,Deconstruction,,,,,,,,,,,,,,
La Blouse Roumaine - Matisse.jpeg,Indoors,Private Domain,,,Social Consciousness,Beauty,Color,Minimalism,,,,,,,,,
Portrait of Gertrude Stien - Picasso.jpeg,Thinker/Artist,Status,Greatness,Thoughtful,Greatness,Harmony,,,,,,,,,,,
The Old Guitarist - Picasso.jpeg,Indoors,Private Domain,,Recreation,Rest/Liesure,the Mind,Occupation of Time,Social Consciousness,Strife/Pain,Color,Isolation,Sadness,Drama,,,,
Banks of the Seine at Chatou - Vlaminck.jpg,Forest,,,Abundance,Deconstruction,Lively,Color,,,,,,,,,,
Boats at Martigues - Dufy.jpg,River/Lake,,,Color,,,,,,,,,,,,,
Bonheur de Vivre - Matisse.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,,Cycle of life,Spirituality,the Body,Love,Joy,Sexuality,Sensual,Harmony,,,
Charing Cross Bridge - Derain.jpg,City,Buildings,,Lively,Color,,,,,,,,,,,,
Church Tower at Domburg - Mondrian.jpg,City,Buildings,,Color,,,,,,,,,,,,,
Collioure Interior - Matisse.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Community/Family,Love,Comfort,Joy,Casual,Texture,Occupation of Time,,,,,,
Dance - Matisse.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Social Consciousness,the Mind,Beauty,Joy,Lively,Color,Minimalism,Occupation of Time,,,,
Dune IV - Mondrain.jpg,Farm/grassland,,,Color,,,,,,,,,,,,,
Goldfish - Matisse.jpg,Furniture,,Abundance,Lively,Joy,,,,,,,,,,,,
Lady in the hat - Mashkov.jpg,Commoner,Joy,Joy,,,,,,,,,,,,,,
Landscape near Antwerp - Braque.jpg,Farm/grassland,,,Color,Deconstruction,Texture,,,,,,,,,,,
Landscape Near Chatou - Derain.jpg,Farm/grassland,Buildings,Beauty,,Color,Texture,Lively,Deconstruction,Harmony,Abundance,,,,,,,
Landscape with Red Roofs - Vlaminck.jpg,Farm/grassland,Buildings,Peaceful,Mystery,Texture,Deconstruction,Harmony,,,,,,,,,,
Le cafe Maure - Matisse.jpg,Indoors,Public Domain,Urban Realm,Rest/Liesure,Community/Family,Occupation of Time,Minimalism,Comfort,,,,,,,,,
Les Toit de Collioure - Matisse.jpg,Farm/grassland,Buildings,Beauty,,Texture,Color,Lively,Deconstruction,,,,,,,,,
Luxe - Matisse.jpg,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Recreation,Occupation of Time,Color,Texture,Beauty,Lively,Casual,,,,,,
Mountains at Collioure - Derain.jpg,Farm/grassland,,Beauty,,Color,Texture,Lively,Abundance,Deconstruction,,,,,,,,
Notre Dame - Matisse.jpg,City,Buildings,,Peace,,,,,,,,,,,,,
Portrait of Andre Derain - Matisse.jpg,Thinker/Artist,Texture,,,,,,,,,,,,,,,
Portrait of Matisse - Derain.jpg,Thinker/Artist,Texture,Color,Deconstruction,,,,,,,,,,,,,
Portrait of the Son - Konchalovsky.jpg,Other/Self/Personal,Youth,Color,,,,,,,,,,,,,,
Prades the Village - Miro.jpg,City,Buildings,,Color,Lively,Deconstruction,,,,,,,,,,,
Regent Street - Derain.jpg,Outdoors,Public Domain,Urban Realm,Chores,,Community/Family,Occupation of Time,Deconstruction,Color,Lively,Harmony,,,,,,
Self Portrait - Matisse.jpg,Other/Self/Personal,Confidence,Texture,Status,,,,,,,,,,,,,
Ship at La Harve - Braque.jpg,City,,,Peace,,,,,,,,,,,,,
Street Lamp - Marquet.jpg,City,Buildings,,Deconstruction,Lively,,,,,,,,,,,,
The Blue Nude - Matisse.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,the Body,Social Consciousness,Sensual,,,,,,,,,,
The Blue Window - Matisse.jpg,,Color,Minimalism,,,,,,,,,,,,,,
The Corn Poppy - Dongen.jpg,Indoors,Public Domain,Urban Realm,,Gender,Color,Social Consciousness,,,,,,,,,,
The Dance - Derain.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Color,Sexuality,Community/Family,the Body,Beauty,Primitivism,Cross Culturalism,,,,,
The Estaque - Braque.jpg,City,Buildings,Beauty,,Deconstruction,,,,,,,,,,,,
