Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The Green Line - Matisse.jpg,Other/Self/Personal,Vacancy,,,,,,,,,,,,,,,
The Moulade - Matisse.jpg,Beach,,,Deconstruction,Color,Lively,,,,,,,,,,,
The Open Window - Matisse.jpg,Sea/Ocean,,,Deconstruction,,,,,,,,,,,,,
The Turning Road - Derain.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Community/Family,Occupation of Time,Beauty,Color,,,,,,,,,
Turkisches Cafe - Macke.jpg,Indoors,Public Domain,Urban Realm,Rest/Liesure,Dining,Community/Family,Beauty,Minimalism,Color,Occupation of Time,Cross Culturalism,,,,,,
Windmill in Sunlight - Mondrain.jpg,Farm/grassland,Buildings,Joy,Texture,Lively,Color,Beauty,,,,,,,,,,
Window Opening on Nice - Dufy.jpg,Sea/Ocean,,Harmony,Deconstruction,New Directions,,,,,,,,,,,,
Woman with a Hat - Matisse.jpg,Other/Self/Personal,Status,Color,Texture,,,,,,,,,,,,,
Zorah on the Terrace - Matisse.jpg,Other/Self/Personal,Beauty/Ideal,Joy,Minimalism,Cross Culturalism,,,,,,,,,,,,
Bougival - Vlaminck.jpeg,Farm/grassland,Buildings,Beauty,Bountiful/Giving,Joy,Deconstruction,Abundance,Lively,Color,,,,,,,,
Portrait of Derain - Vlaminck.jpeg,Thinker/Artist,Greatness,Color,Deconstruction,,,,,,,,,,,,,
Posters at Trouville - Dufy.jpeg,Outdoors,Public Domain,Urban Realm,Chores,,Community/Family,Occupation of Time,Deconstruction,,,,,,,,,
Self Portrait with a Cap - Derain.jpeg,Other/Self/Personal,Serious,Greatness,Confidence,Deconstruction,,,,,,,,,,,,
Still life with Grapes - Mashov.jpeg,Food,,Deconstruction,,,,,,,,,,,,,,
The Piano Lesson - Matisse.jpeg,History Subgenre,Indoors,Private Domain,Urban Realm,Recreation,Education,Community/Family,the Mind,Love,Deconstruction,Discipline,,,,,,
The Red Mill - Mondrian.jpeg,Farm/grassland,Buildings,Power,Color,Minimalism,Harmony,,,,,,,,,,,
The River Seine at Chatou - Vlaminck.jpeg,River/Lake,,Bountiful/Giving,Beauty,Texture,Color,Lively,Deconstruction,,,,,,,,,
Tugboat on the Siene - Vlaminck.jpeg,River/Lake,,Bountiful/Giving,Beauty,Color,Texture,Lively,Deconstruction,,,,,,,,,
A Girl with a Watering Can - Renoir.jpg,Outdoors,Public Domain,,Recreation,Beauty,Occupation of Time,Momentary,,,,,,,,,,
A Stream Beneath the Poplars - Perry.jpg,River/Lake,,Peaceful,Bountiful/Giving,Momentary,,,,,,,,,,,,
At the Races in the Countryside - degas.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Community/Family,Love,Occupation of Time,Harmony,,,,,,,,
Autumn Effect at Argenteuil - Monet.jpg,River/Lake,,Bountiful/Giving,Beauty,Momentary,,,,,,,,,,,,
Autumn-Banks of the Seine near Bougival - Sisley.jpg,River/Lake,,Peaceful,Beauty,Momentary,,,,,,,,,,,,
Boulevard de Capucines - Monet.jpg,City,Buildings,Bountiful/Giving,Fast Pace,Momentary,,,,,,,,,,,,
Cafe-Concert at Les Ambassadeurs - Degas.jpg,Indoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Social Consciousness,Occupation of Time,Momentary,Fast Pace,,,,,,,,
Camille Monet and a Child in the Artist's Garden at Argenteuil - Monet.jpg,Other/Self/Personal,Joy,Youth,Momentary,Texture,Deconstruction,,,,,,,,,,,
Caprice in Purple and Gold - Whistler.jpg,Other/Self/Personal,Beauty/Ideal,Dedication,Thoughtful,Cross Culturalism,,,,,,,,,,,,
Cliff Walk at Pourville - Monet.jpg,Sea/Ocean,,Beauty,Bountiful/Giving,Momentary,Texture,Fast Pace,,,,,,,,,,
Dal du moulin de la Galette - Renoir.jpg,Outdoors,Public Domain,Urban Realm,Recreation,Rest/Liesure,Dining,Communication,Community/Family,Social Consciousness,Occupation of Time,Momentary,Fast Pace,Harmony,,,,
Girl with Peaches - Serov.jpg,Other/Self/Personal,Youth,Freshness,,,,,,,,,,,,,,
Grainstack - Monet.jpg,Farm/grassland,,Bountiful/Giving,Momentary,Peaceful,,,,,,,,,,,,
Haystacks - Monet.jpg,Farm/grassland,,Bountiful/Giving,Texture,Peaceful,,,,,,,,,,,,
Hoarfrost - Pissarro.jpg,Farm/grassland,Human(s),Peace,New Directions,Peaceful,,,,,,,,,,,,
Hunting Butterflies - Morisot.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Community/Family,Social Consciousness,Occupation of Time,Momentary,Texture,Independence,,,,,,,
In the Loge - Cassatt.jpg,Indoors,Public Domain,Urban Realm,Recreation,Social Consciousness,Occupation of Time,Momentary,Casual,Fast Pace,,,,,,,,
La Gare Saint-Lazare - Monet.jpg,City,Buildings,Bountiful/Giving,Momentary,Texture,Fast Pace,,,,,,,,,,,
La Loge - Renoir.jpg,Indoors,Public Domain,Urban Realm,Recreation,Social Consciousness,Occupation of Time,Momentary,Fast Pace,,,,,,,,,
La Promenade - Renoir.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Social Consciousness,Beauty,Momentary,Texture,Love,Occupation of Time,,,,,,,
Les Bain a la Grenoullere - Monet.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Communication,Occupation of Time,Momentary,Texture,Deconstruction,Comfort,Peace,,,,,,
Little Girl in a Blue Armchair - Cassatt.jpg,Indoors,Private Domain,,Rest/Liesure,Conflict,Community/Family,Cycle of life,Social Consciousness,Youth,,,,,,,,
Luncheon on the Grass - Monet.jpg,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Dining,Occupation of Time,Social Consciousness,Momentary,Harmony,,,,,,,,
Madame Georges Charpentier - Renoir.jpg,Aristocracy,Status,Momentary,Gender,Cross Culturalism,,,,,,,,,,,,
Man at his Bath - Caillebotte.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Occupation of Time,the Body,Momentary,Texture,,,,,,,,,
Poplars - Monet.jpg,River/Lake,,Peaceful,Joy,,,,,,,,,,,,,
Study - Renior.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,the Body,Beauty,Sexuality,,,,,,,,,,
The Basin at Argenteuil - Monet.jpg,Outdoors,Public Domain,Urban Realm,Recreation,Occupation of Time,Momentary,Comfort,Beauty,,,,,,,,,
The Bellelli Family - Degas.jpg,Aristocracy,Sadness,Uneasiness,Serious,,,,,,,,,,,,,
The Childs Bath - Cassatt.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,Community/Family,Science,the Body,Love,Morality,Gender,,,,,,
The Cradle - Morisot.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,Community/Family,Love,Momentary,Gender,,,,,,,,
The Girl Covered by the Sun - Serov.jpg,Commoner,Youth,Beauty/Ideal,Thoughtful,Momentary,Sadness,,,,,,,,,,,
The Grands Boulevard - Renoir.jpg,Outdoors,Public Domain,Urban Realm,Work,Chores,Communication,Fast Pace,Momentary,Lively,Texture,Occupation of Time,,,,,,
The Harbor at Lorient - Morisot.jpg,Outdoors,Public Domain,Urban Realm,Rest/Liesure,Freshness,Momentary,Occupation of Time,,,,,,,,,,
The Swing - Renoir.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Communication,Occupation of Time,Momentary,Texture,Joy,Comfort,,,,,,,
The Water Lilies - Monet.jpg,River/Lake,,Peaceful,Beauty,Texture,,,,,,,,,,,,
Two Sisters - Renoir.jpg,Other/Self/Personal,Youth,Thoughtful,Momentary,Texture,Lively,Abundance,Peace,,,,,,,,,
Visit to a Museum - Degas.jpg,Indoors,Public Domain,Urban Realm,Recreation,Education,Occupation of Time,Momentary,Texture,Gender,the Mind,,,,,,,
Woman with the Pearl Necklace - Cassatt.jpg,Indoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Occupation of Time,Social Consciousness,Momentary,Gender,Intimacy,Lively,,,,,,
Women in the Garden - Monet.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Communication,Occupation of Time,Joy,Momentary,,,,,,,,
Floor Scrappers - Caillebotte.jpeg,Indoors,Public Domain,Urban Realm,Work,the Body,Occupation of Time,Sensual,Sexuality,Social Consciousness,,,,,,,,
Impression Sunrise - Monet.jpeg,Outdoors,Public Domain,Urban Realm,Work,Minimalism,Momentary,Occupation of Time,,,,,,,,,,
Luncheon of the Boating Party - Renoir.jpeg,Outdoors,Public Domain,Urban Realm,Recreation,Communication,Rest/Liesure,Festivity/Celebration,Community/Family,Occupation of Time,Joy,Lively,Comfort,Momentary,,,,
Paris Street Rainy Day - Caillebotte.jpeg,Outdoors,Public Domain,Urban Realm,Chores,Occupation of Time,Momentary,Isolation,New Directions,,,,,,,,,
Poppies - Monet.jpeg,Outdoors,Private Domain,Rural Realm,Recreation,Chores,Occupation of Time,Community/Family,Momentary,Peace,,,,,,,,
The Ballet Class - Degas.jpeg,Indoors,Public Domain,Urban Realm,Education,Work,Communication,the Body,Occupation of Time,Momentary,Lively,Exhaustion,,,,,,
The Boulevard Montmarte - Pissaro.jpeg,Outdoors,Public Domain,Urban Realm,Chores,Recreation,Momentary,Lively,Fast Pace,,,,,,,,,
Woman with a Parasol - Monet.jpeg,Outdoors,Private Domain,Rural Realm,Recreation,Community/Family,Occupation of Time,Momentary,Casual,Freshness,,,,,,,,
Women Walking on a Beach - Sorolla.jpeg,Outdoors,Private Domain,Rural Realm,Recreation,Occupation of Time,Beauty,Elegance,Nature Interaction,Casual,,,,,,,,
Achilles Receiving the Ambassadors of Agamemnon.jpg,Mythological Subgenre,Outdoors,Public Domain,Rural Realm,Work,Conflict,Communication,Government,the Mind,Drama,,,,,,,
Ancient Rome - Panini.jpg,City,Buildings,Bountiful/Giving,Beauty,Harmony,Ideal,,,,,,,,,,,
Aqueduct in Ruins - Robert.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Work,Chores,Beauty,Antiquity,Nature Interaction,,,,,,,,
Benjamin Franklin Drawing Electricity from the Sky - West.jpg,Thinker/Artist,Genius,Greatness,Dedication,,,,,,,,,,,,,
Charles Towneley in his sculpture gallery - Zoffany.jpg,History Subgenre,Indoors,Private Domain,Urban Realm,Communication,Rest/Liesure,Occupation of Time,Social Consciousness,Harmony,Cross Culturalism,Elegance,,,,,,
Cornelia Pointing to her Children as Her Treasures - Kauffmann.jpg,History Subgenre,Indoors,Private Domain,,Communication,Morality,Community/Family,Social Consciousness,Antiquity,Youth,Drama,,,,,,
Diana and Cupid - Batoni.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Conflict,Communication,Community/Family,Love,Intimacy,Gender,,,,,
Fantasy view - Panini.jpg,City,Buildings,Beauty,Ideal,Harmony,,,,,,,,,,,,
Johann Joachim Winckelmann.jpg,Thinker/Artist,Status,Genius,Greatness,Dedication,Thoughtful,,,,,,,,,,,
Judgement of Paris - Mengs.jpg,Mythological Subgenre,Outdoors,Public Domain,Rural Realm,Communication,Conflict,Beauty,Morality,Antiquity,Drama,,,,,,,
Julie Lebrun as Flora - Le Brun.jpg,Other/Self/Personal,Beauty/Ideal,Youth,,,,,,,,,,,,,,
Jupiter and Thetis - Ingres.jpg,Mythological Subgenre,Outdoors,Private Domain,,Communication,Conflict,Social Consciousness,the Body,Power,Morality,Sexuality,Drama,,,,,
Madame Raymod de Verninac - David.jpg,Aristocracy,Status,Thoughtful,,,,,,,,,,,,,,
Modern Romania - Tattarescu.jpg,Allegorical Subgenre,Outdoors,Public Domain,Rural Realm,,Government,Social Consciousness,Morality,Antiquity,,,,,,,,
Napoleon Crossing the Alps - David.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Work,Conflict,Recreation,Government,Power,Drama,Ideal,Government,Patriotism,Greatness,Nature Interaction,,
Napoleon I on his Imperial Throne - Ingres.jpg,Royalty,Status,Power,Greatness,Dedication,,,,,,,,,,,,
Perseus and Andromeda - Leighton.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Work,Violence,Conflict,Drama,Morality,Antiquity,Sexuality,the Body,,,,,
Portrait of Antoine-Laurent Lavoisier and his wife - David.jpg,Aristocracy,Genius,Beauty/Ideal,Dedication,Intimacy,,,,,,,,,,,,
Portrait of Citizen Jean-Baptiste Belley - Trioson.jpg,Government/Military,Status,Greatness,Serious,Dedication,Strength,,,,,,,,,,,
Portrait of Madame Recamier - David.jpg,Aristocracy,Status,Beauty/Ideal,Mischievous,Sensual,Elegance,,,,,,,,,,,
Portrait of Madeline - Benoist.jpg,Commoner,Dedication,Sexuality,Elegance,,,,,,,,,,,,,
Portrait of Susanna van Collen nee Mogge and her daughter - Numan.jpg,Aristocracy,Status,Joy,Youth,Elegance,,,,,,,,,,,,
Self-portrait - Benoist.jpg,Other/Self/Personal,Status,Dedication,Confidence,Sensual,,,,,,,,,,,,
The Anger of Achilles - David.jpg,Mythological Subgenre,Outdoors,Public Domain,,Conflict,Communication,Morality,Community/Family,Antiquity,Drama,,,,,,,
The Architects Dream - Cole.jpg,City,Buildings,Ideal,,,,,,,,,,,,,,
The Death of Nelson - West.jpg,History Subgenre,Outdoors,Public Domain,,Work,Violence,Communication,Cycle of life,Government,Drama,,,,,,,
The Death of Seneca - David.jpg,History Subgenre,Indoors,Public Domain,Urban Realm,Violence,Conflict,Communication,Cycle of life,Morality,Antiquity,Discipline,Drama,,,,,
The Death of Socrates - David.jpg,History Subgenre,Indoors,Public Domain,Urban Realm,Conflict,Communication,Cycle of life,Government,Social Consciousness,Morality,Drama,Antiquity,Discipline,Revolution,,,
The Emperor Napoleon in his Study at the Tuileries - David.jpg,Royalty,Status,Power,Greatness,Elegance,Intimacy,,,,,,,,,,,
The Intervention of the Sabine Woman - David.jpg,Mythological Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Communication,Government,Morality,Love,Drama,Strength,Antiquity,Discipline,Uneasiness,,
The Lictors Returning to Brutus the Bodies of his sons - David.jpg,History Subgenre,Indoors,Public Domain,Urban Realm,Conflict,Work,Communication,Cycle of life,Government,Love,Morality,Antiquity,Drama,Discipline,Revolution,,
The Sleep of Endymion - Girodet.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,the Body,Beauty,Love,Drama,Elegance,Peace,Sensual,Gender,,,,
Virgil reading to Augustus - Ingres.jpg,History Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Conflict,Communication,Community/Family,Cycle of life,Love,Antiquity,Drama,Loss,,,,
Burial of Atala - Trioson.jpeg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Conflict,,Spirituality,Cycle of life,Social Consciousness,Morality,Love,Drama,Intimacy,Loss,Discipline,Sensual,
Dante and Virgil - Bouguereau.jpeg,Mythological Subgenre,Outdoors,Public Domain,,Education,Violence,Conflict,Communication,Spirituality,Social Consciousness,the Body,Beauty,Morality,Drama,Antiquity,Uneasiness,
L'excommunication de Robert le Pieux - Laurens.jpeg,History Subgenre,Indoors,Private Domain,Urban Realm,Conflict,Rest/Liesure,,Social Consciousness,Love,Morality,Drama,Uneasiness,Fear,,,,
Leonidas at Thermopylae - David.jpeg,History Subgenre,Outdoors,Public Domain,Rural Realm,Violence,Conflict,Communication,Government,Morality,Social Consciousness,Drama,Antiquity,Discipline,,,,
Oedipus Explaining the Enigma of the Sphinx - Ingres.jpeg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Communication,Conflict,,the Body,Antiquity,Drama,,,,,,,
Portrait of Monsieur Bertin - Inres.jpeg,Thinker/Artist,Status,Dedication,Confidence,Strength,Warm,,,,,,,,,,,
Princesse de Broglie - Ingres.jpeg,Aristocracy,Status,Beauty/Ideal,Youth,Greatness,,,,,,,,,,,,
The Artist and His Family - West.jpeg,Other/Self/Personal,Serious,Dedication,Intimacy,,,,,,,,,,,,,
The Coronation of Napoleon - David.jpeg,History Subgenre,Indoors,Public Domain,Urban Realm,Festivity/Celebration,Communication,Government,Harmony,Elegance,Greatness,,,,,,,
The Cupid Seller - Vien.jpeg,Indoors,Private Domain,,Rest/Liesure,Work,Communication,Social Consciousness,Love,Antiquity,,,,,,,,
The Damsel and Orlando - West.jpeg,Literary Subgenre,Outdoors,Private Domain,,Conflict,Communication,the Mind,Love,Antiquity,Drama,Uneasiness,,,,,,
The Death of General Wolfe - West.jpeg,History Subgenre,Outdoors,Public Domain,Rural Realm,Conflict,Violence,,Cycle of life,Government,Drama,Loss,Patriotism,,,,,
The Death of Leonardo da Vinci - Ingres.jpeg,History Subgenre,Indoors,Private Domain,,Conflict,Communication,,Spirituality,Cycle of life,Drama,Loss,Intimacy,,,,,
The Death of Marat - David.jpeg,History Subgenre,Indoors,Private Domain,Urban Realm,Violence,Conflict,,Cycle of life,Government,Beauty,Drama,Revolution,,,,,
The Explusion of Adam and Eve from Paradise - West.jpeg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Conflict,Communication,Spirituality,Morality,Drama,Loss,,,,,,,
The Oath of Horatii - David.jpeg,Mythological Subgenre,Indoors,Private Domain,Urban Realm,Communication,Work,Rest/Liesure,Morality,Government,Drama,Antiquity,Patriotism,Discipline,,,,
A Sunday on La Grande Jatte.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Occupation of Time,Harmony,,,,,,,,,,
A Wheatfield with Cypresses - van Gogh.jpg,Farm/grassland,,Beauty,Color,Texture,Deconstruction,Lively,Joy,,,,,,,,,
Arearea - Gauguin.jpg,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Chores,Work,Religious Action,Spirituality,Community/Family,Occupation of Time,Harmony,Primitivism,Cross Culturalism,,,,
At the Moulin Rouge - Lautrec.jpg,Indoors,Public Domain,Urban Realm,Recreation,Dining,Communication,Community/Family,Occupation of Time,Drama,Lively,Fast Pace,,,,,,
Bathers - Cezanne.jpg,Outdoors,Public Domain,Rural Realm,Chores,Rest/Liesure,Community/Family,the Body,Occupation of Time,Deconstruction,Harmony,Comfort,Casual,,,,,
Boy in a Red Vest - Cezanne.jpg,Commoner,Vacancy,Youth,Youth,,,,,,,,,,,,,
Breton Girls Dancing - Gauguin.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Festivity/Celebration,Community/Family,Color,Youth,Peace,,,,,,,,
Cafe Terrace at Night - van Gogh.jpg,Outdoors,Public Domain,Urban Realm,Recreation,Dining,Occupation of Time,Beauty,Texture,Comfort,Color,,,,,,,
Coastal Landscape from Martinique - Gauguin.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Work,Chores,Community/Family,Beauty,Occupation of Time,Nature Interaction,Cross Culturalism,,,,,,
Coming and Going - Gauguin.jpg,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Work,Chores,Community/Family,Occupation of Time,Lively,Cross Culturalism,Primitivism,Nature Interaction,,,,,
Day of God - Gauguin.jpg,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Religious Action,Festivity/Celebration,Community/Family,Spirituality,Sexuality,Cross Culturalism,Primitivism,Color,Gender,,,,
Evening Calm - Signac.jpg,River/Lake,,Peaceful,Color,Harmony,,,,,,,,,,,,
Harvest at La Crau - van Gogh.jpg,Farm/grassland,Buildings,Beauty,Bountiful/Giving,Color,Texture,,,,,,,,,,,
Irises - van Gogh.jpg,Flowers/Plants,,,,,,,,,,,,,,,,
Le Chahut - Seurat.jpg,Indoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Occupation of Time,Harmony,Lively,Fast Pace,,,,,,,,
Madame Cezanne - Cezanne.jpg,Other/Self/Personal,Serious,Vacancy,Texture,,,,,,,,,,,,,
Models - Seurat.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,,the Body,Harmony,Sensual,Gender,Intimacy,Strength,,,,,,
Mont Sainte-Victorie - Cezanne.jpg,Farm/grassland,Buildings,Deconstruction,Texture,Harmony,,,,,,,,,,,,
Morning Calm - Signac.jpg,River/Lake,,Peaceful,Harmony,Color,,,,,,,,,,,,
Parade de cirque - Seurat.jpg,Outdoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Occupation of Time,Harmony,,,,,,,,,,
Paul Alexis reading to Emile Zola - Cezanne.jpg,Thinker/Artist,Exhaustion,Dedication,Texture,Intimacy,,,,,,,,,,,,
Road with Cypress and Star - van Gogh.jpg,Outdoors,Public Domain,Rural Realm,Chores,Cycle of life,Texture,Color,Nature Interaction,Uneasiness,,,,,,,,
Seascape Near Les Saintes - van Gogh.jpg,Sea/Ocean,,Beauty,Lively,Color,Texture,,,,,,,,,,,
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Other/Self/Personal,Thoughtful,Serious,Color,Uneasiness,,,,,,,,,,,,
Self-portrait in a hat - Gauguin.jpg,Other/Self/Personal,Dedication,Mischievous,Color,Texture,Primitivism,Discipline,Confidence,Strength,,,,,,,,
Self-portrait with bandaged ear - van gogh.jpg,Other/Self/Personal,Strife/Pain,Exhaustion,Dedication,Color,Texture,Freshness,Uneasiness,,,,,,,,,
Spirit of the Dead Watching - Gauguin.jpg,Indoors,Private Domain,Rural Realm,Rest/Liesure,Conflict,Spirituality,Cycle of life,the Mind,Color,Primitivism,Cross Culturalism,Uneasiness,Sexuality,Drama,,,
Starry Night over the Rhone - van Gogh.jpg,River/Lake,Buildings,Beauty,Mystery,Bountiful/Giving,Color,Texture,Isolation,Lively,Harmony,,,,,,,
Still Life with Plaster Cupid - Cezanne.jpg,Food,,,,,,,,,,,,,,,,
The Basket of Apples - Cezanne.jpg,Furniture,Food,,,,,,,,,,,,,,,
The Bather - Cezanne.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,,the Body,Occupation of Time,Texture,Isolation,Vacancy,,,,,,,
The Bedroom - van Gogh.jpg,City,,Beauty,Color,Texture,Minimalism,Joy,Lively,,,,,,,,,
The Card Players - Cezanne.jpg,Indoors,Public Domain,,Recreation,Communication,Occupation of Time,Texture,Peace,,,,,,,,,
The Church at Auvers - van Gogh.jpg,City,Buildings,Color,Texture,Beauty,Harmony,,,,,,,,,,,
The Dream - Rosseau.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,,the Body,Cross Culturalism,Lively,Nature Interaction,Drama,,,,,,,
The Mango Trees - Gauguin.jpg,Outdoors,Public Domain,Rural Realm,Work,Community/Family,Occupation of Time,Primitivism,Cross Culturalism,Nature Interaction,,,,,,,,
The Painter of Sunflowers - Gauguin.jpg,Thinker/Artist,Dedication,Exhaustion,Color,,,,,,,,,,,,,
The Red Cow - Gauguin.jpg,Outdoors,Private Domain,Rural Realm,Work,Chores,Occupation of Time,Spirituality,Color,Texture,Peace,Nature Interaction,,,,,,
The Red Rock - Cezanne.jpg,Forest,,Bountiful/Giving,Texture,Deconstruction,Lively,,,,,,,,,,,
The Sleeping Gypsy - Rosseau.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Minimalism,Nature Interaction,,,,,,,,,,,
