Name,Control,Visibility,Outlines
Grainstack - Monet.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Haystacks - Monet.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Hoarfrost - Pissarro.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Hunting Butterflies - Morisot.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
In the Loge - Cassatt.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
La Gare Saint-Lazare - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
La Loge - Renoir.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Light/No Outlines
La Promenade - Renoir.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Les Bain a la Grenoullere - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Little Girl in a Blue Armchair - Cassatt.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Luncheon on the Grass - Monet.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madame Georges Charpentier - Renoir.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Man at his Bath - Caillebotte.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Poplars - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Study - Renior.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Basin at Argenteuil - Monet.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Bellelli Family - Degas.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Childs Bath - Cassatt.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Cradle - Morisot.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Girl Covered by the Sun - Serov.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Grands Boulevard - Renoir.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Harbor at Lorient - Morisot.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Swing - Renoir.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Water Lilies - Monet.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Two Sisters - Renoir.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Visit to a Museum - Degas.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Woman with the Pearl Necklace - Cassatt.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Women in the Garden - Monet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Floor Scrappers - Caillebotte.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Impression Sunrise - Monet.jpeg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Luncheon of the Boating Party - Renoir.jpeg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Paris Street Rainy Day - Caillebotte.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Poppies - Monet.jpeg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Ballet Class - Degas.jpeg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Boulevard Montmarte - Pissaro.jpeg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Woman with a Parasol - Monet.jpeg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Women Walking on a Beach - Sorolla.jpeg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Achilles Receiving the Ambassadors of Agamemnon.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Ancient Rome - Panini.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Aqueduct in Ruins - Robert.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Benjamin Franklin Drawing Electricity from the Sky - West.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Charles Towneley in his sculpture gallery - Zoffany.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Cornelia Pointing to her Children as Her Treasures - Kauffmann.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Diana and Cupid - Batoni.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Fantasy view - Panini.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Johann Joachim Winckelmann.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Judgement of Paris - Mengs.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Julie Lebrun as Flora - Le Brun.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Jupiter and Thetis - Ingres.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madame Raymod de Verninac - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Modern Romania - Tattarescu.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Napoleon Crossing the Alps - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Napoleon I on his Imperial Throne - Ingres.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Perseus and Andromeda - Leighton.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Antoine-Laurent Lavoisier and his wife - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Citizen Jean-Baptiste Belley - Trioson.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Madame Recamier - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Madeline - Benoist.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Susanna van Collen nee Mogge and her daughter - Numan.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Self-portrait - Benoist.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Anger of Achilles - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Architects Dream - Cole.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Death of Nelson - West.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Death of Seneca - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Death of Socrates - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Emperor Napoleon in his Study at the Tuileries - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Intervention of the Sabine Woman - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Lictors Returning to Brutus the Bodies of his sons - David.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Sleep of Endymion - Girodet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Virgil reading to Augustus - Ingres.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Burial of Atala - Trioson.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Dante and Virgil - Bouguereau.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
L'excommunication de Robert le Pieux - Laurens.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Leonidas at Thermopylae - David.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Oedipus Explaining the Enigma of the Sphinx - Ingres.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Monsieur Bertin - Inres.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Princesse de Broglie - Ingres.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Artist and His Family - West.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Coronation of Napoleon - David.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Cupid Seller - Vien.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Damsel and Orlando - West.jpeg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Death of General Wolfe - West.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Death of Leonardo da Vinci - Ingres.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Death of Marat - David.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Explusion of Adam and Eve from Paradise - West.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Oath of Horatii - David.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
A Sunday on La Grande Jatte.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
A Wheatfield with Cypresses - van Gogh.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Arearea - Gauguin.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
At the Moulin Rouge - Lautrec.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Bathers - Cezanne.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Boy in a Red Vest - Cezanne.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Breton Girls Dancing - Gauguin.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Cafe Terrace at Night - van Gogh.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Coastal Landscape from Martinique - Gauguin.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Coming and Going - Gauguin.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Day of God - Gauguin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Evening Calm - Signac.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Harvest at La Crau - van Gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Irises - van Gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Le Chahut - Seurat.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Madame Cezanne - Cezanne.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Models - Seurat.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Mont Sainte-Victorie - Cezanne.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Morning Calm - Signac.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Parade de cirque - Seurat.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Paul Alexis reading to Emile Zola - Cezanne.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Road with Cypress and Star - van Gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Seascape Near Les Saintes - van Gogh.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Self-portrait in a hat - Gauguin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Self-portrait with bandaged ear - van gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Spirit of the Dead Watching - Gauguin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Starry Night over the Rhone - van Gogh.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Still Life with Plaster Cupid - Cezanne.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
The Basket of Apples - Cezanne.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Bather - Cezanne.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
The Bedroom - van Gogh.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Card Players - Cezanne.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Church at Auvers - van Gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
The Dream - Rosseau.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Mango Trees - Gauguin.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Painter of Sunflowers - Gauguin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Red Cow - Gauguin.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Red Rock - Cezanne.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Sleeping Gypsy - Rosseau.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Starry Night - van Gogh.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Tiger in a Tropical Storm - Rosseau.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Tropical Conversation - Gauguin.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Turning Road at Montgeroult - Cezanne.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Vision after the Sermon - Gauguin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Wheatfield with Crows - van Gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
When will you marry - Gauguin.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Still Life with Apples - Cezanne.jpeg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
A Burial at Ornans - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
A Loge at the Theater des Italiens - Gonzales.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Autum Day - Levitan.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Autumn Bouquet - Repin.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Bar at the Folies-Bergere - Manet.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Barge Haulers on the Volga - Repin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Corner of a Cafe-Concert - Manet.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Emile Zola - Manet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Family Portrait - Ostade.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Femme nu Couchee - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Golden Autumn - Levitan.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Hawning Apprentice - Mankacsy.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Hunters at Rest - Perov.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
In the Conservatory - Manet.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Ivan the Terrible and His Son Ivan - Repin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Jewess with Oranges - Gierymski.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
L'Angelus - Millet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
La rencontre - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Les Demoiselles du bord de la Seine - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Morning in a Pine Forest - Shishkin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Music in the Tuileries Gardens - Manet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Olympia - Manet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Ploughing in the Nivernais - Bonheur.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Plum Brandy - Manet.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Portrait of an Unknown Woman - Kramskoi.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Science and Charity - Picasso.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Sheep in the Highlands - Bonheur.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Taking a Snow Town - Surikov.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Apotheosis of War - Vereschchagin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Daughters of Edward Darley Boit.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Fifer - Manet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The First Mourning - Bouguereau.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Gleaners - Millet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Little Cavaliers - Manet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Morning of the Streltsy Execution - Surikov.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Painter's Studio - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Railway - Manet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Rooks Have Come Back - Savrasov.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Violoncellist - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Wheat Sifters - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Valley of the Loue - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Whistler's Mother - Whistler.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Luncheon on the Grass - Manet.jpeg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Silent Monastary - Levitan.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Potato Eaters - van Gogh.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Shepherdess - Bouguereau.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Stone Breakers - Courbet.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
A goldsmith in his shop - Christus.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Adoration of the Kings - van der Goes.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Adoration of the Magi - Botticelli.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Arnolfini Portrait - van Eyck.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Baptism of Christ - Verrocchio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Birth of the Virgin - Ghirlandaio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Calumny of Apelles - Botticelli.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Christ and the Virgin - Campin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Crucifixion with the Virgin and St. John - van der weyden.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Danae - Correggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Death of the Virgin - Mantegna.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
La Primavera (Spring) - Botticelli.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Lamentation of Christ - Mantegna.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madonna and Child - Crivelli.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madonna in the Church - van Eyck.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Madonna of the Meadow - Raphael.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Mona Lisa - da Vinci.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Pastoral Concert - Titian.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
